NAME,PER,K,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,TRANSITREF,TRANSITURL,ORBREF,ORBURL
HAT-P-7 b,2.204737,211.8,1.7916,0.0631816,0.0631816,0.0631816,1.363,0.195,0.087,0.141,0.876,0.17,0.24,0.205,Winn 2009,http://adsabs.harvard.edu/abs/2009ApJ...703L..99W,Morris 2013,http://adsabs.harvard.edu/abs/2013ApJ...764L..22M
HAT-P-8 b,3.076337,153.1,1.29336,0.0542198,0.0542198,0.0542198,1.5,0.07,0.07,0.07,0.568,0.048,0.048,0.048,Latham 2009,http://adsabs.harvard.edu/abs/2009ApJ...704.1107L,Latham 2009,http://adsabs.harvard.edu/abs/2009ApJ...704.1107L
HAT-P-9 b,3.92289,84.7,0.776601,0.0893404,0.0893404,0.0893404,1.4,0.06,0.06,0.06,0.35,0.06,0.06,0.06,Shporer 2009,http://adsabs.harvard.edu/abs/2009ApJ...690.1393S,Shporer 2009,http://adsabs.harvard.edu/abs/2009ApJ...690.1393S
HATS-1 b,3.446459,254.1,1.86507,0.25243,0.25243,0.25243,1.302,0.162,0.098,0.13,1.03,0.25,0.25,0.25,Penev 2013,http://adsabs.harvard.edu/abs/2013AJ....145....5P,Penev 2013,http://adsabs.harvard.edu/abs/2013AJ....145....5P
HATS-10 b,3.312846,67,0.526,0.081,0.081,0.081,0.969,0.061,0.045,0.053,0.7,0.15,0.15,0.15,Brahm 2015,http://adsabs.harvard.edu/abs/2015AJ....150...33B,Brahm 2015,http://adsabs.harvard.edu/abs/2015AJ....150...33B
HATS-2 b,1.354133,268.9,1.34915,0.152111,0.152111,0.152111,1.168,0.03,0.03,0.03,3.39,0.05,0.05,0.05,Mohler-Fischer 2013,http://arxiv.org/abs/1304.2140,Mohler-Fischer 2013,http://arxiv.org/abs/1304.2140
HATS-3 b,3.547851,125.7,1.0735,0.138469,0.138469,0.138469,1.381,0.035,0.035,0.035,0.540462,0.0810551,0.0810551,0.0810551,Bayliss 2013,http://adsabs.harvard.edu/abs/2013AJ....146..113B,Bayliss 2013,http://adsabs.harvard.edu/abs/2013AJ....146..113B
HATS-4 b,2.156729,197.5,1.323,0.028,0.028,0.028,1.02,0.037,0.037,0.037,1.55,0.16,0.16,0.16,Jordan 2014,http://adsabs.harvard.edu/abs/2014AJ....148...29J,Jordan 2014,http://adsabs.harvard.edu/abs/2014AJ....148...29J
HATS-5 b,4.763387,30,0.237663,0.013629,0.013629,0.013629,0.912,0.025,0.025,0.025,0.415453,0.041653,0.041653,0.041653,Zhou 2014,http://adsabs.harvard.edu/abs/2014AJ....147..144Z,Zhou 2014,http://adsabs.harvard.edu/abs/2014AJ....147..144Z
HATS-6 b,3.3252725,63,0.319,0.07,0.07,0.07,0.998,0.019,0.019,0.019,0.399,0.089,0.089,0.089,Hartman 2015,http://adsabs.harvard.edu/abs/2015AJ....149..166H,Hartman 2015,http://adsabs.harvard.edu/abs/2015AJ....149..166H
HATS-9 b,1.9153073,133.5,0.837,0.029,0.029,0.029,1.065,0.098,0.098,0.098,0.85,0.19,0.19,0.19,Brahm 2015,http://adsabs.harvard.edu/abs/2015AJ....150...33B,Brahm 2015,http://adsabs.harvard.edu/abs/2015AJ....150...33B
HD 149026 b,2.8758911,43.3,0.361471,0.0155987,0.0155987,0.0155987,0.654,0.06,0.046,0.053,1.59,0.38,0.36,0.37,Carter 2009,http://adsabs.harvard.edu/abs/2009ApJ...696..241C,Carter 2009,http://adsabs.harvard.edu/abs/2009ApJ...696..241C
HD 17156 b,21.21663,279.8,3.30275,0.11156,0.11156,0.11156,1.02,0.08,0.08,0.08,3.78,0.06,0.06,0.06,Barbieri 2009,http://adsabs.harvard.edu/abs/2009A%26A...503..601B,Barbieri 2009,http://adsabs.harvard.edu/abs/2009A%26A...503..601B
HD 189733 b,2.21857567,205,1.1436,0.0562492,0.0562492,0.0562492,1.138,0.027,0.027,0.027,0.963,0.088,0.079,0.0835,Agol 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1861A,Bouchy 2005,http://adsabs.harvard.edu/abs/2005A%26A...444L..15B
HD 209458 b,3.52474859,84.67,0.689646,0.0236457,0.0236457,0.0236457,1.359,0.015,0.015,0.015,0.338,0.015,0.015,0.015,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T
HD 80606 b,111.4367,472,3.89054,0.188083,0.188083,0.188083,1.029,0.017,0.017,0.017,7.94618,0.694515,0.694515,0.694515,Fossey 2009,http://adsabs.harvard.edu/abs/2009MNRAS.396L..16F,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...498L...5M
HD 97658 b,9.4909,2.9,0.024739,0.002297,0.002297,0.002297,0.208761,0.0160683,0.0133723,0.0147203,3.44,0.91,0.82,0.865,Dragomir 2013,http://adsabs.harvard.edu/abs/2013arXiv1305.7260D,Dragomir 2013,http://adsabs.harvard.edu/abs/2013arXiv1305.7260D
HIP 116454 b,9.1205,4.41,0.03719,0.00418,0.00418,0.00418,0.231,0.016,0.016,0.016,4.17,1.08,1.08,1.08,Vanderburg 2015,http://adsabs.harvard.edu/abs/2015ApJ...800...59V,Vanderburg 2015,http://adsabs.harvard.edu/abs/2015ApJ...800...59V
KELT-2 A b,4.1137912,161.1,1.52064,0.0897487,0.0897487,0.0897487,1.286,0.065,0.047,0.056,0.948085,0.135916,0.135916,0.135916,Beatty 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..39B,Beatty 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..39B
KELT-3 b,2.70339,179.6,1.46164,0.066,0.066,0.066,1.358,0.068,0.069,0.0685,0.721,0.11,0.09,0.1,Pepper 2013,http://adsabs.harvard.edu/abs/2013ApJ...773...64P,Pepper 2013,http://adsabs.harvard.edu/abs/2013ApJ...773...64P
KELT-6 b,7.8457,42.8,0.43122,0.0473998,0.0473998,0.0473998,1.193,0.13,0.077,0.1035,0.336761,0.0951474,0.0951474,0.0951474,Collins 2014,http://adsabs.harvard.edu/abs/2014AJ....147...39C,Collins 2014,http://adsabs.harvard.edu/abs/2014AJ....147...39C
KELT-7 b,2.7347749,138,1.28,0.18,0.18,0.18,1.533,0.046,0.047,0.0465,0.422,0.073,0.068,0.0705,Bieryla 2015,http://adsabs.harvard.edu/abs/2015AJ....150...12B,Bieryla 2015,http://adsabs.harvard.edu/abs/2015AJ....150...12B
Kepler-10 b,0.837495,3.3,0.0142824,0.00392831,0.00392831,0.00392831,0.126327,0.00294406,0.0032117,0.00307788,8.8,2.1,2.9,2.5,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B
Kepler-10 c,45.29485,3.26,0.054117,0.005978,0.005978,0.005978,0.209653,0.0035686,0.01249,0.0080293,5,5,5,5,Fressin 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....5F,Fressin 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....5F
Kepler-102 d,10.3117,1.37,0.00574989,0.00287494,0.00287494,0.00287494,0.105263,0.003568,0.003568,0.003568,13.27,6.46,6.46,6.46,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-102 e,16.1457,2.77,0.0280968,0.0062927,0.0062927,0.0062927,0.198037,0.006244,0.006244,0.006244,4.68,1.12,1.12,1.12,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-102 f,27.4536,2.11,0.00195073,0.0103829,0.0103829,0.0103829,0.0785013,0.0026762,0.0026762,0.0026762,4.92,24.5,24.5,24.5,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-103 b,15.9654,2.32,0.0305195,0.0270585,0.0270585,0.0270585,0.300624,0.0080285,0.0080285,0.0080285,1.38,1.4,1.4,1.4,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-103 c,179.612,3.85,0.0877632,0.00485324,0.00485324,0.00485324,0.458519,0.0124888,0.0124888,0.0124888,1.47,1.2,1.2,1.2,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-106 b,6.16486,0.05,0.00144019,0.000571578,0.000571578,0.000571578,0.073149,0.009813,0.009813,0.009813,1.26,26.26,26.26,26.26,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-106 c,13.5708,2.71,0.0328478,0.0100683,0.0100683,0.0100683,0.223015,0.0285459,0.0285459,0.0285459,3.28,1.56,1.56,1.56,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-106 e,43.8445,1.95,0.0203863,0.00359469,0.00359469,0.00359469,0.228368,0.029438,0.029438,0.029438,3.1,2.07,2.07,2.07,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-109 b,6.48163,0.29,0.0182069,0.000725866,0.000725866,0.000725866,0.211437,0.006245,0.006245,0.006245,0.3,2.2,2.2,2.2,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-109 c,21.2227,0.43,0.0199023,0.000815921,0.000815921,0.000815921,0.224819,0.006245,0.006245,0.006245,0.65,2.3,2.3,2.3,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-113 b,4.754,5.4,0.013404,0.000353203,0.000353203,0.000353203,0.16237,0.0044607,0.0044607,0.0044607,10.73,3.9,3.9,3.9,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-12 b,4.4379637,48.2,0.431956,0.0415479,0.0415479,0.0415479,1.695,0.028,0.032,0.03,0.111,0.011,0.009,0.01,Fortney 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....9F,Fortney 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....9F
Kepler-131 b,16.092,3.95,0.0526382,0.0110122,0.0110122,0.0110122,0.215006,0.0178428,0.0178428,0.0178428,6,1.98,1.98,1.98,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-138 b,10.312364,,0.00021,0.00019,0.00011,0.00015,0.047,0.003,0.003,0.003,2.6,2.4,1.5,1.95,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-14 b,6.790123,682.9,8.40643,0.293577,0.293577,0.293577,1.136,0.073,0.054,0.0635,7.1,1.1,1.1,1.1,Bucchave 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....3B,Bucchave 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....3B
Kepler-15 b,4.942782,78.7,0.662431,0.0789697,0.0789697,0.0789697,0.96,0.07,0.06,0.065,0.93,0.018,0.382,0.2,Endl 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...13E,Endl 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...13E
Kepler-16 b,228.776,,0.333,0.016,0.016,0.016,0.7538,0.0026,0.0023,0.00245,1.03091,0.0505427,0.0505427,0.0505427,Doyle 2011,http://adsabs.harvard.edu/abs/2011Sci...333.1602D,Doyle 2011,http://adsabs.harvard.edu/abs/2011Sci...333.1602D
Kepler-17 b,1.4857108,399,2.47943,0.102045,0.102045,0.102045,1.33,0.04,0.04,0.04,1.3,0.14,0.14,0.14,Desert 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...14D,Desert 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...14D
Kepler-18 b,3.504725,,0.022,0.011,0.011,0.011,0.17843,0.00892,0.00892,0.00892,4.9,2.4,2.4,2.4,Cochran 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....7C,Cochran 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....7C
Kepler-18 c,7.64159,,0.0544,0.006,0.006,0.006,0.489785,0.0231956,0.0231956,0.0231956,0.59,0.07,0.07,0.07,Cochran 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....7C,Cochran 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....7C
Kepler-18 d,14.85888,,0.0516,0.0044,0.0044,0.0044,0.622714,0.0294406,0.0294406,0.0294406,0.27,0.03,0.03,0.03,Cochran 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....7C,Cochran 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....7C
Kepler-20 b,3.6961219,3.72,0.0266646,0.00667714,0.00667714,0.00667714,0.170247,0.0106961,0.0187183,0.0147072,6.5,2,2.7,2.35,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G
Kepler-20 c,10.854092,4.83,0.0495058,0.0104281,0.0104281,0.0104281,0.273643,0.0178269,0.0276317,0.0227293,2.91,0.85,1.08,0.965,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G
Kepler-20 d,77.61184,1.2,0.0236865,0.0227127,0.0227127,0.0227127,0.24512,0.0151529,0.0267403,0.0209466,2.035,4.07,0,2.035,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G
Kepler-22 b,289.8623,,0.0183345,0.00133075,0.00133075,0.00133075,0.2125,0.0116071,0.0116071,0.0116071,12.8929,13.0649,13.0649,13.0649,Borucki 2012,http://adsabs.harvard.edu/abs/2012ApJ...745..120B,Borucki 2012,http://adsabs.harvard.edu/abs/2012ApJ...745..120B
Kepler-25 c,12.7204,5.63,0.0899033,0.00317591,0.00317591,0.00317591,0.463913,0.008029,0.008029,0.008029,0.9,0.21,0.21,0.21,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-289 d,66.0634,,0.012,0.003,0.003,0.003,0.244,0.015,0.015,0.015,1.2,0.3,0.3,0.3,Schmitt 2014,http://adsabs.harvard.edu/abs/2014ApJ...795..167S,Schmitt 2014,http://adsabs.harvard.edu/abs/2014ApJ...795..167S
Kepler-30 b,29.334,,0.035557,0.00440529,0.00440529,0.00440529,0.347625,0.0178269,0.0178269,0.0178269,1.02,0.13,0.13,0.13,Sanchis-Ojeda 2012,http://adsabs.harvard.edu/abs/2012Natur.487..449S,Sanchis-Ojeda 2012,http://adsabs.harvard.edu/abs/2012Natur.487..449S
Kepler-30 c,60.3231,,2.01385,0.157332,0.157332,0.157332,1.09635,0.0356538,0.0356538,0.0356538,1.88,0.17,0.17,0.17,Sanchis-Ojeda 2012,http://adsabs.harvard.edu/abs/2012Natur.487..449S,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F
Kepler-30 d,143.343,,0.0726872,0.00849591,0.00849591,0.00849591,0.784384,0.0445673,0.0445673,0.0445673,0.19,0.02,0.02,0.02,Sanchis-Ojeda 2012,http://adsabs.harvard.edu/abs/2012Natur.487..449S,Sanchis-Ojeda 2012,http://adsabs.harvard.edu/abs/2012Natur.487..449S
Kepler-33 c,13.17562,,0.0305282,0.00537477,0.00537477,0.00537477,0.28523,0.0267404,0.0267404,0.0267404,9.91915,,,,Lissauer 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..112L,Lissauer 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..112L
Kepler-33 f,41.02902,,0.0654095,0.0120841,0.0120841,0.0120841,0.39754,0.0365451,0.0365451,0.0365451,5.34815,,,,Lissauer 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..112L,Lissauer 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..112L
Kepler-34 b,288.822,,0.220004,0.011,0.01,0.0105,0.764,0.014,0.012,0.013,0.613,0.045,0.041,0.043,Welsh 2012,http://adsabs.harvard.edu/abs/2012Natur.481..475W,Welsh 2012,http://adsabs.harvard.edu/abs/2012Natur.481..475W
Kepler-35 b,131.458,,0.127011,0.02,0.02,0.02,0.728,0.014,0.014,0.014,0.41,0.07,0.069,0.0695,Welsh 2012,http://adsabs.harvard.edu/abs/2012Natur.481..475W,Welsh 2012,http://adsabs.harvard.edu/abs/2012Natur.481..475W
Kepler-36 b,13.83989,,0.0140379,0.00104101,0.000851734,0.000946372,0.132454,0.00311971,0.00311971,0.00311971,7.46,0.74,0.59,0.665,Carter 2012,http://adsabs.harvard.edu/abs/2012Sci...337..556C,Carter 2012,http://adsabs.harvard.edu/abs/2012Sci...337..556C
Kepler-36 c,16.23855,,0.025489,0.00189274,0.0014511,0.00167192,0.327926,0.00481326,0.00481326,0.00481326,0.89,0.07,0.05,0.06,Carter 2012,http://adsabs.harvard.edu/abs/2012Sci...337..556C,Carter 2012,http://adsabs.harvard.edu/abs/2012Sci...337..556C
Kepler-37 b,13.367308,0.95,0.00958673,0.0111104,0.0111104,0.0111104,0.0270078,0.00472413,0.00650681,0.00561547,645.278,849.462,849.462,849.462,Barclay 2013,http://adsabs.harvard.edu/abs/2013Natur.494..452B,Barclay 2013,http://adsabs.harvard.edu/abs/2013Natur.494..452B
Kepler-37 c,21.301886,0.92,0.0107897,0.0129134,0.0129134,0.0129134,0.066,0.006,0.007,0.0065,49.7647,61.3553,61.3553,61.3553,Barclay 2013,http://adsabs.harvard.edu/abs/2013Natur.494..452B,Barclay 2013,http://adsabs.harvard.edu/abs/2013Natur.494..452B
Kepler-37 d,39.792187,0.4,0.00577478,0.0173263,0.0173263,0.0173263,0.178,0.01,0.01,0.01,1.35775,4.0804,4.0804,4.0804,Barclay 2013,http://adsabs.harvard.edu/abs/2013Natur.494..452B,Barclay 2013,http://adsabs.harvard.edu/abs/2013Natur.494..452B
Kepler-39 b,21.0874,1251,18.1805,0.717812,0.717812,0.717812,1.22,0.12,0.1,0.11,12.4,3.4,2.6,3,Bouchy 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A..83B,Bouchy 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A..83B
Kepler-4 b,3.21346,9.3,0.0772279,0.0128195,0.0128195,0.0128195,0.357,0.019,0.019,0.019,1.91,0.36,0.45,0.405,Borucki 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.126B,Borucki 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.126B
Kepler-40 b,6.87349,179,2.17684,0.336268,0.336268,0.336268,1.17,0.04,0.04,0.04,1.68,0.53,0.43,0.48,Santerne 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..63S,Santerne 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..63S
Kepler-406 b,2.42629,2.89,0.0199792,0.0044049,0.0044049,0.0044049,0.127576,0.0026764,0.0026764,0.0026764,11.82,2.7,2.7,2.7,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-41 b,1.855558,85,0.493545,0.0711857,0.0711857,0.0711857,0.841,0.032,0.032,0.032,1.02,0.18,0.18,0.18,Santerne 2011,http://adsabs.harvard.edu/abs/2011A%26A...536A..70S,Santerne 2011,http://adsabs.harvard.edu/abs/2011A%26A...536A..70S
Kepler-412 b,1.720861232,142,0.940391,0.0866236,0.0866236,0.0866236,1.325,0.043,0.043,0.043,5.38499,0.726114,0.726114,0.726114,Deleuil 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.6811D,Deleuil 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.6811D
Kepler-420 b,86.647661,,1.45,0.35,0.35,0.35,0.94,0.12,0.12,0.12,2.1,1.2,1.2,1.2,Santerne 2014,http://adsabs.harvard.edu/abs/2014A%26A...571A..37S,Santerne 2014,http://adsabs.harvard.edu/abs/2014A%26A...571A..37S
Kepler-422 b,7.8914483,40,0.43,0.13,0.13,0,1.15,0.11,0.11,0.11,0.38,0.11,0.11,0.11,Endl 2014,http://adsabs.harvard.edu/abs/2014ApJ...795..151E,Endl 2014,http://adsabs.harvard.edu/abs/2014ApJ...795..151E
Kepler-423 b,2.68432848,101,0.72,0.12,0.12,0,1.2,0.065,0.065,0.065,0.55,0.09,0.09,0.09,Endl 2014,http://adsabs.harvard.edu/abs/2014ApJ...795..151E,Endl 2014,http://adsabs.harvard.edu/abs/2014ApJ...795..151E
Kepler-424 b,3.3118644,140,0.770225,0.233434,0.233434,0.233434,0.89,0.08,0.06,0.07,1.74,0.44,0.34,0.39,Endl 2014,http://adsabs.harvard.edu/abs/2014ApJ...795..151E,Endl 2014,http://adsabs.harvard.edu/abs/2014ApJ...795..151E
Kepler-427 b,10.290994,29.8,0.29,0.09,0.09,0.09,1.23,0.21,0.21,0.21,0.16,0.14,0.14,0.14,Hebrard 2014,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,Hebrard 2014,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H
